"condition","right","rating","N","N_for","N_against","N_neutral"
"LIGHTNESS:PITCH","dark:low",2.14102564102564,52,49,3,0
"SHAPE:TIMBRE","smooth:sine",1.59615384615385,52,45,6,1
"LIGHTNESS:TIMBRE","dark:sine",1.53846153846154,52,43,9,0
"SHAPE:PITCH","smooth:low",1.35897435897436,52,45,7,0
"COMPLEXITY:TIMBRE","simple:square",1.14102564102564,52,40,8,4
"COLOR:PITCH","red:low",1.10897435897436,52,37,11,4
"COLOR:TIMBRE","red:square",1,52,36,11,5
"COMPLEXITY:PITCH","simple:low",0.788461538461538,52,36,14,2
"TIMBRE:PITCH","sine:low",0.557692307692308,52,30,14,8
"SHAPE:COLOR","smooth:blue",0.519230769230769,52,29,15,8
"SHAPE:LIGHTNESS","smooth:light",0.326923076923077,52,29,16,7
"SHAPE:COMPLEXITY","smooth:complex",0.275641025641026,52,27,22,3
"COMPLEXITY:COLOR","simple:blue",0.269230769230769,52,23,20,9
"COMPLEXITY:LIGHTNESS","simple:light",0.141025641025641,52,25,16,11
"COLOR:LIGHTNESS","red:light",0.121794871794872,52,26,18,8
